record_number,paper_number,paper_identifier,group_number_within_paper,group_id,source_evidence,has_section_reference,has_table_reference,has_figure_reference,has_page_reference
31,9,https://doi.org/10.1016/j.ijheatmasstransfer.2021.122381,5,LFP_Air,"Fig. 3e, Fig. 4 (chemistry comparison), Fig. 5 (venting and smoke/TR temperatures), Fig. 10 (no flame in air for LFP), Section 3.1 and 3.4",1,0,0,0
32,9,https://doi.org/10.1016/j.ijheatmasstransfer.2021.122381,6,LFP_N2,"Fig. 3f, Fig. 5 (venting and smoke/TR temperatures), Fig. 10 (no flame in N2), Section 3.1 and 3.4",1,0,0,0
33,10,https://doi.org/10.1016/j.ijheatmasstransfer.2021.122395,1,EV-ARC_single_cell,Table 3 and Fig. 3,0,1,0,0
34,10,https://doi.org/10.1016/j.ijheatmasstransfer.2021.122395,2,TRP_module_heater_700W,"Fig. 5a–d (setup), Fig. 6b–d, Table 11 (trigger times), Table 12 (maximum temperatures), Table 13 (propagation intervals)",0,1,0,0
35,11,https://doi.org/10.1016/j.ijheatmasstransfer.2022.123082,1,Baseline_NoProtection_WellVent,Section 4.1; Fig. 8a and Fig. 9a,1,0,0,0
36,11,https://doi.org/10.1016/j.ijheatmasstransfer.2022.123082,2,CPCM_Only_WellVent,Section 4.1; Fig. 8b and Fig. 9b; Conclusion (1),1,0,0,0
37,11,https://doi.org/10.1016/j.ijheatmasstransfer.2022.123082,3,Aerogel_Only_WellVent,Section 4.1; Fig. 8c and Fig. 9c; Conclusion (2),1,0,0,0
38,11,https://doi.org/10.1016/j.ijheatmasstransfer.2022.123082,4,CPCM_Aerogel_Combo_WellVent,Section 4.1; Fig. 8d and Fig. 9d; Conclusion (3),1,0,0,0
39,11,https://doi.org/10.1016/j.ijheatmasstransfer.2022.123082,5,Optimized_Combo_LiquidCooling_0p21Lmin_WellVent,Section 4.2; Fig. 10 (a–c); Conclusion (5),1,0,0,0
40,11,https://doi.org/10.1016/j.ijheatmasstransfer.2022.123082,6,LiquidCooling_Only_0p21Lmin_WellVent,Section 4.2; Fig. 12 (a–b); Conclusion (4),1,0,0,0
41,11,https://doi.org/10.1016/j.ijheatmasstransfer.2022.123082,7,Extreme_NoLiquidCooling_300W,Section 4.3; Fig. 13a,1,0,0,0
42,11,https://doi.org/10.1016/j.ijheatmasstransfer.2022.123082,8,Extreme_WithLiquidCooling,Section 4.3; Fig. 13b,1,0,0,0
43,11,https://doi.org/10.1016/j.ijheatmasstransfer.2022.123082,9,Extreme_LiquidCooling_Flow_0p21,Section 4.4; Fig. 14a,1,0,0,0
44,11,https://doi.org/10.1016/j.ijheatmasstransfer.2022.123082,10,Extreme_LiquidCooling_Flow_0p42,Section 4.4; Fig. 14a,1,0,0,0
45,11,https://doi.org/10.1016/j.ijheatmasstransfer.2022.123082,11,Extreme_LiquidCooling_Flow_0p63,Section 4.4; Fig. 14a,1,0,0,0
46,11,https://doi.org/10.1016/j.ijheatmasstransfer.2022.123082,12,Extreme_LiquidCooling_Flow_0p84,Section 4.4; Fig. 14a,1,0,0,0
47,12,https://doi.org/10.1016/j.ijheatmasstransfer.2022.123133,1,SOC_50_Vertical_Cavity,Fig. 3b and Section 4.1 for TR timing; Table 1 and Section 4.3 for venting behavior,1,1,0,0
48,12,https://doi.org/10.1016/j.ijheatmasstransfer.2022.123133,2,SOC_100_Vertical_Cavity,Fig. 3c and Section 4.1 for TR description and timing; discussion in Section 4.2 (Fig. 6) on oxygen consumption; Section 4.3 on pressure surge,1,0,0,0
49,12,https://doi.org/10.1016/j.ijheatmasstransfer.2022.123133,3,SOC_100_Horizontal_MassLoss,Section 4.3(1) and Fig. 8 (mass-loss experiment: TR at 357–382 s),1,0,0,0
50,13,https://doi.org/10.1016/j.ijheatmasstransfer.2025.126663,1,H_1cm,"Fig. 3 (jet fire behavior), Fig. 4 (ceiling jet fire images at H=3 cm), Fig. 7 (temperature histories, H=1 cm panels), Fig. 9 (temperature rise rate context), Fig. 10 (characteristic temperatures and times), Table 2 (ceiling jet HRR); Sections 3.1–3.4",0,1,0,0
51,13,https://doi.org/10.1016/j.ijheatmasstransfer.2025.126663,2,H_2cm,"Fig. 7 (temperature histories, H=2 cm panels), Fig. 9 (temperature rise rate context), Fig. 10 (t3,i at 186.6 s and characteristic temperatures), Table 2 (ceiling jet HRR); Sections 3.1–3.4",0,1,0,0
52,13,https://doi.org/10.1016/j.ijheatmasstransfer.2025.126663,3,H_3cm,"Fig. 4 (ceiling jet fire images at H=3 cm), Fig. 7 (temperature histories, H=3 cm panels), Fig. 10 (t3,i ≈110 s; T3,m ≈700 °C), Table 2 (HRR at different H); Sections 3.1–3.4",0,1,0,0
53,13,https://doi.org/10.1016/j.ijheatmasstransfer.2025.126663,4,H_5cm,"Fig. 3 (behavior at higher baffle), Fig. 7 (temperature histories, H=5 cm panels), Fig. 10 (t3,i ≈110 s; T3,m ≈700 °C), Table 2 (HRR of momentum-buoyancy stage); Sections 3.1–3.4",0,1,0,0
54,13,https://doi.org/10.1016/j.ijheatmasstransfer.2025.126663,5,H_inf_OpenSpace,"Fig. 3 (no-baffle behavior), Fig. 7 (temperature histories, H=∞ panels), Fig. 10 (t3,i ≈110 s; T3,m ≈700 °C), Table 2 (HRR for momentum-buoyancy stage); Sections 3.1–3.4",0,1,0,0
55,14,https://doi.org/10.1016/j.ijheatmasstransfer.2025.127536,1,NMC811_ARC_Inert,"Section 3.1; Fig. 6 (temperature/pressure evolution), Fig. 7 (dT/dt behavior), Fig. 13 (key temperatures)",1,0,0,0
56,14,https://doi.org/10.1016/j.ijheatmasstransfer.2025.127536,2,NCA_ARC_Inert,"Section 3.1; Fig. 6 (temperature/pressure evolution), Fig. 7 (dT/dt behavior), Fig. 13 (key temperatures)",1,0,0,0
57,15,https://doi.org/10.1016/j.jaerosci.2024.106420,1,LFP_20Ah_100SOC_HeatingPlate,"Section 4.1 (Battery combustion and soot collection), Fig. 2a",1,0,0,0
58,15,https://doi.org/10.1016/j.jaerosci.2024.106420,2,NCM_50Ah_100SOC_HeatingPlate,"Section 4.1 (Battery combustion and soot collection), Fig. 2b",1,0,0,0
59,16,https://doi.org/10.1016/j.clay.2021.106111,1,MMC_PrPP_Cell,Figure 6b and Results section (MMC analysis: “large endothermic peak around 178 °C… exothermic heat flux peak at 180 °C… 2.628 kJ g−1”).,1,0,1,0
60,16,https://doi.org/10.1016/j.clay.2021.106111,2,MMC_VermiculitePVDF_Cell,Figure 6b and Results section (MMC analysis: “exothermic heat flux peak at 180 °C… 0.953 kJ g−1 for modified separator cell”).,1,0,1,0
61,17,https://doi.org/10.1016/j.enconman.2019.112071,1,Reference_Blank,Fig. 10A(a) and Section 3.1 discussion,1,0,0,0
62,17,https://doi.org/10.1016/j.enconman.2019.112071,2,PCM_nf,"Fig. 6(b), Fig. 10A(b) vs 10A(a), Fig. 7b; Section 3.1",1,0,0,0
63,17,https://doi.org/10.1016/j.enconman.2019.112071,3,Aerogel_p,"Fig. 8(a), Fig. 9; Section 3.1",1,0,0,0
64,17,https://doi.org/10.1016/j.enconman.2019.112071,4,Aerogel_f,"Fig. 8(b), Fig. 9, Fig. 10A(c) and text: “defers the initial TR time from 573 s to 826 s” and “aerogel-f exhibits a better insulation effect; the trigger time … is 63 s late vs aerogel-p”; Section 3.1",1,0,0,0
65,17,https://doi.org/10.1016/j.enconman.2019.112071,5,Optimized_PCMnf_Aerogelf,"Fig. 14 (burning process without flames), Fig. 15 (temperature curves showing ~173 s delay and peak reduced to 385.0 °C); Section 3.3",1,0,0,0
66,18,https://doi.org/10.1016/j.enconman.2021.114663,1,Ramp_7.5Cmin,Table 4; Fig. 5; Sections 2.2–2.6 and 3.1–3.4,0,1,0,0
67,18,https://doi.org/10.1016/j.enconman.2021.114663,2,Ramp_11.0Cmin,Table 4; Fig. 5; Fig. 6 and Fig. 7; Sections 3.1–3.4,0,1,0,0
68,18,https://doi.org/10.1016/j.enconman.2021.114663,3,Ramp_14.5Cmin,Table 4; Fig. 5; Sections 3.1–3.4,0,1,0,0
69,19,https://doi.org/10.1016/j.enconman.2021.115091,1,SOC_0pct_HeatingOnly,Fig. 6a and Table 2,0,1,0,0
70,19,https://doi.org/10.1016/j.enconman.2021.115091,2,SOC_50pct_HeatingOnly,Fig. 6b and Table 2,0,1,0,0
71,19,https://doi.org/10.1016/j.enconman.2021.115091,3,SOC_100pct_HeatingOnly,Fig. 6c and Table 2,0,1,0,0
72,19,https://doi.org/10.1016/j.enconman.2021.115091,4,Test1_NoSpray_100pctSOC_Baseline,Fig. 8 and Table 3 (Without spray),0,1,0,0
73,19,https://doi.org/10.1016/j.enconman.2021.115091,5,Test2_ContinuousSpray_100pctSOC,"Fig. 7a, Fig. 8, Table 3 (30 s, CS)",0,1,0,0
74,19,https://doi.org/10.1016/j.enconman.2021.115091,6,Test3_IS_Period20s_Duty0.5_100pctSOC,"Fig. 7b, Fig. 8, Table 3 (20 s, IS)",0,1,0,0
75,19,https://doi.org/10.1016/j.enconman.2021.115091,7,Test4_IS_Period10s_Duty0.5_100pctSOC,"Fig. 7c, Fig. 8, Table 3 (10 s, IS)",0,1,0,0
76,19,https://doi.org/10.1016/j.enconman.2021.115091,8,Test5_IS_Period2s_Duty0.5_100pctSOC,"Fig. 7d, Fig. 8, Fig. 9, Table 3 (2 s, IS)",0,1,0,0
77,19,https://doi.org/10.1016/j.enconman.2021.115091,9,Test6_IS_Period20s_Duty0.75_100pctSOC,"Fig. 12a, Fig. 13, Fig. 14–15, Table 5 (DC 0.75)",0,1,0,0
78,19,https://doi.org/10.1016/j.enconman.2021.115091,10,Test3b_IS_Period20s_Duty0.5_100pctSOC,"Fig. 12b, Fig. 13, Fig. 14–15, Table 5 (DC 0.5)",0,1,0,0
79,19,https://doi.org/10.1016/j.enconman.2021.115091,11,Test7_IS_Period20s_Duty0.25_100pctSOC,"Fig. 12c, Fig. 13, Fig. 14–15, Table 5 (DC 0.25)",0,1,0,0
80,19,https://doi.org/10.1016/j.enconman.2021.115091,12,Test8_IS_Period20s_Duty0.1_100pctSOC,"Fig. 12d, Fig. 13, Fig. 14–15, Table 5 (DC 0.1)",0,1,0,0
81,20,https://doi.org/10.1016/j.enconman.2025.120133,1,ARC_100pct_SOC,Fig. 8(a–c) and Table 2,0,1,0,0
82,20,https://doi.org/10.1016/j.enconman.2025.120133,2,CVR_SideHeating_1000W_100pct_SOC,"Fig. 7(b), Fig. 8(d–f), Fig. 9(a)",0,0,0,0
83,21,https://doi.org/10.1016/j.jhazmat.2019.03.116,1,EVARC_100_SOC,Table 3; Fig. 4(a–b); Fig. 6; Section 3.1,1,1,0,0
84,21,https://doi.org/10.1016/j.jhazmat.2019.03.116,2,EVARC_50_SOC,Table 3; Fig. 6; Section 3.1,1,1,0,0
85,21,https://doi.org/10.1016/j.jhazmat.2019.03.116,3,Module_Exp1_100_SOC,Table 1; Fig. 8; Fig. 10; Fig. 12; Table 5; Section 3.3.1–3.3.3,1,1,0,0
86,21,https://doi.org/10.1016/j.jhazmat.2019.03.116,4,Module_Exp2_50_SOC_NoTR,Table 1; Section 2.2 (experimental description) and Section 3.3 (note: TR not observed in experiment 2),1,1,0,0
87,21,https://doi.org/10.1016/j.jhazmat.2019.03.116,5,Module_Exp3_50_SOC,Table 1; Fig. 9; Fig. 11; Fig. 13; Table 5; Fig. 14; Section 3.3.1–3.3.4,1,1,0,0
88,22,https://doi.org/10.1016/j.jhazmat.2019.06.007,1,Test_1_Cylindrical_Side_0.4kW,"Table 2 (arrangement), Table 3 (onset/max temperature, max dT/dt), Fig. 4–5 (temperature and rate), Fig. 6 (HRR/THR), Fig. 7 (CO2/CO), Fig. 8 (mass loss), Section 3.1–3.3",1,1,0,0
89,22,https://doi.org/10.1016/j.jhazmat.2019.06.007,2,Test_2_Cylindrical_Bottom_0.4kW,"Table 2, Table 3, Fig. 3 (combustion behavior), Fig. 4–5 (temperature and rate), Fig. 6 (HRR/THR), Fig. 7 (CO2/CO), Fig. 8 (mass loss), Section 3.1–3.3",1,1,0,0
90,22,https://doi.org/10.1016/j.jhazmat.2019.06.007,3,Test_3_Furnace_Bottom_0.4kW,"Table 2, Table 3, Fig. 3–6 (combustion, temperature/rate, HRR), Fig. 7 (CO2/CO), Fig. 8 (mass loss), Section 3.1–3.3",1,1,0,0
91,22,https://doi.org/10.1016/j.jhazmat.2019.06.007,4,Test_4_Furnace_Bottom_2.0kW,"Table 2, Table 3, Fig. 3–6 (combustion, temperature/rate, HRR), Fig. 7 (CO2/CO), Fig. 8 (mass loss), Section 3.1–3.3",1,1,0,0
92,23,https://doi.org/10.1016/j.jhazmat.2020.123169,1,Air_100SOC_400W_300C_ComponentTest,Setup in Section 2.2; test condition in Section 2.3; ejection visuals in Fig. 3; chemical/element evidence in Section 3.2 and Fig. 6; high-temperature inference in Section 4.1,1,0,0,0
93,24,https://doi.org/10.1016/j.jhazmat.2023.131646,1,NCM622_EV-ARC_100%SOC,Fig. 5 (temperature characteristics during TR); Section 2.2 EV-ARC test,1,0,0,0
94,25,https://doi.org/10.1016/j.apenergy.2012.05.064,1,LiCoO2_4.2V,"Table 2 (T0, Tmax, (dT/dt)max, Pmax, (dP/dt)max), Fig. 2 (T–time), Fig. 3 (T–P), Fig. 4 (dT/dt vs T), Fig. 5 (dP/dt vs T), Section 3 text",1,1,0,0
95,25,https://doi.org/10.1016/j.apenergy.2012.05.064,2,Li(Ni1/3Co1/3Mn1/3)O2_4.2V,"Table 2 (T0, Tmax, (dT/dt)max, Pmax, (dP/dt)max), Fig. 2 (T–time), Fig. 3 (T–P), Fig. 4 (dT/dt vs T), Fig. 5 (dP/dt vs T), Section 3 text",1,1,0,0
96,26,https://doi.org/10.1016/j.apenergy.2016.08.160,1,Rhombus_2_direct,Section 3.1.1; Fig. 3; Fig. 6; Fig. 5a; Table 1 (row for 2#),1,1,0,0
97,26,https://doi.org/10.1016/j.apenergy.2016.08.160,2,Rhombus_3_propagated,Section 3.1.1–3.1.2; Fig. 3d–e; Fig. 6a; Table 1 (row for 3#),1,1,0,0
98,26,https://doi.org/10.1016/j.apenergy.2016.08.160,3,Rhombus_4_exploded,Section 3.1.1–3.1.3; Fig. 3c–g; Fig. 6; Table 1 (row for 4#),1,1,0,0
99,26,https://doi.org/10.1016/j.apenergy.2016.08.160,4,Parallel_6_direct,Section 3.1.1–3.1.2; Fig. 4b–c; Fig. 7b–c; Table 1 (row for 6#),1,1,0,0
100,26,https://doi.org/10.1016/j.apenergy.2016.08.160,5,Parallel_5_propagated,Section 3.1.1–3.1.2; Fig. 4e–f; Fig. 7a; Table 1 (row for 5#),1,1,0,0
101,26,https://doi.org/10.1016/j.apenergy.2016.08.160,6,Parallel_7_propagated,Section 3.1.1–3.1.2; Fig. 4d–f; Fig. 7a–b; Table 1 (row for 7#),1,1,0,0
102,27,https://doi.org/10.1016/j.apenergy.2017.08.073,1,ARC_1.5C_Adiabatic,"Section 3 (setup) and Section 4.2; Fig. 5 (experimental setup), Fig. 8(e–h) (measured vs predicted temperature and runaway peak)",1,0,0,0
103,28,https://doi.org/10.1016/j.apenergy.2018.06.126,1,EVARC_Adiabatic,"Fig. 2 (setup), Table 2 (ARC settings), Fig. 7 (adiabatic TR profiles), Table 8 (critical temperatures)",0,1,0,0
104,28,https://doi.org/10.1016/j.apenergy.2018.06.126,2,EVARC_Oven_130C,"Table 2 (oven settings), Fig. 8a–b (130 °C oven profiles), Table 8 (critical temperatures)",0,1,0,0
105,28,https://doi.org/10.1016/j.apenergy.2018.06.126,3,EVARC_Oven_150C,"Table 2 (oven settings), Fig. 8c–d (150 °C oven profiles), Table 8 (critical temperatures)",0,1,0,0
106,29,https://doi.org/10.1016/j.apenergy.2019.04.009,1,Battery_Sample_I_Normal_Cell,Figure 12a and Figure 12d,0,0,1,0
107,29,https://doi.org/10.1016/j.apenergy.2019.04.009,2,Battery_Sample_II_Dried_Electrolyte,Figure 12b and Figure 12e,0,0,1,0
108,29,https://doi.org/10.1016/j.apenergy.2019.04.009,3,Battery_Sample_III_Dried_No_Separator,Figure 12c and Figure 12f,0,0,1,0
109,30,10.1016/j.apenergy.2019.114440,1,Hotspot_r1.5mm_case1,,0,0,0,0
110,30,10.1016/j.apenergy.2019.114440,2,Hotspot_r2.0mm_case,,0,0,0,0
111,31,https://doi.org/10.1016/j.apenergy.2020.114972,1,ARC_NMC992_18650_GolubkovAdapted,"Section 2.1 (thermal abuse experiment description adapted from Golubkov et al.), Fig. 1 (T and dT/dt trends), Section 4.1 (baseline evolution: t ≈ 4100 s vent opening, t ≈ 5300 s TR, peak ≈670 °C), Fig. 8a–b",1,0,0,0
112,32,https://doi.org/10.1016/j.apenergy.2021.116495,1,ARC_18650_SOC100,Section 4.1; Fig. 3b,1,0,0,0
113,32,https://doi.org/10.1016/j.apenergy.2021.116495,2,ARC_18650_SOC80,Section 4.1; Fig. 3b,1,0,0,0
114,32,https://doi.org/10.1016/j.apenergy.2021.116495,3,ARC_18650_SOC60,Section 4.1; Fig. 3b,1,0,0,0
115,32,https://doi.org/10.1016/j.apenergy.2021.116495,4,ARC_21700_SOC100,Section 4.1; Fig. 3d,1,0,0,0
116,32,https://doi.org/10.1016/j.apenergy.2021.116495,5,ARC_21700_SOC80,Section 4.1; Fig. 3d,1,0,0,0
117,32,https://doi.org/10.1016/j.apenergy.2021.116495,6,ARC_21700_SOC60,Section 4.1; Fig. 3d,1,0,0,0
118,33,https://doi.org/10.1016/j.apenergy.2021.117038,1,ARC_Adiabatic_Surface,"Table 7 (Adiabatic TR test, Experiment); Section 4.1; Fig. 4",1,1,0,0
119,33,https://doi.org/10.1016/j.apenergy.2021.117038,2,ARC_Adiabatic_Center,"Table 7 (Adiabatic TR test, Experiment); Section 4.1; Fig. 4",1,1,0,0
120,33,https://doi.org/10.1016/j.apenergy.2021.117038,3,Oven150_Surface,"Table 7 (150 °C oven test, Experiment); Fig. 5a–b; Fig. 7a; Section 4.1–4.2",1,1,0,0
121,33,https://doi.org/10.1016/j.apenergy.2021.117038,4,Oven150_Center,"Table 7 (150 °C oven test, Experiment); Fig. 5a–b; Fig. 7a; Section 4.1–4.2",1,1,0,0
122,33,https://doi.org/10.1016/j.apenergy.2021.117038,5,Oven180_Surface,"Table 7 (180 °C oven test, Experiment); Fig. 5c–d; Fig. 7b; Section 4.1–4.2",1,1,0,0
123,33,https://doi.org/10.1016/j.apenergy.2021.117038,6,Oven180_Center,"Table 7 (180 °C oven test, Experiment); Fig. 5c–d; Fig. 7b; Section 4.1–4.2",1,1,0,0
124,33,https://doi.org/10.1016/j.apenergy.2021.117038,7,Oven200_Surface,"Table 7 (200 °C oven test, Experiment); Fig. 5e–f; Fig. 7c; Section 4.1–4.2",1,1,0,0
125,33,https://doi.org/10.1016/j.apenergy.2021.117038,8,Oven200_Center,"Table 7 (200 °C oven test, Experiment); Fig. 5e–f; Fig. 7c; Section 4.1–4.2",1,1,0,0
126,34,https://doi.org/10.1016/j.apenergy.2022.119778,1,LSH,"TR definition: Section 2.2; Key parameters (tTR, Tmax, (dT/dt)max): Table 2; Temperature/voltage curves: Fig. 2(a1,a2).",1,1,0,0
127,34,https://doi.org/10.1016/j.apenergy.2022.119778,2,SH,"TR definition: Section 2.2; Key parameters (tTR, Tmax, (dT/dt)max): Table 2; Temperature/voltage curves: Fig. 2(b1,b2).",1,1,0,0
128,34,https://doi.org/10.1016/j.apenergy.2022.119778,3,BH,"TR definition: Section 2.2; Key parameters (tTR, Tmax, (dT/dt)max): Table 2; Temperature/voltage curves: Fig. 2(c1,c2).",1,1,0,0
129,35,https://doi.org/10.1016/j.apenergy.2022.120110,1,Validation_18650_2Cmin,Section 4.1.2; Fig. 9a–b (validation against Golubkov et al. [1]),1,0,0,0
130,36,https://doi.org/10.1016/j.apenergy.2022.120119,1,Module_1_No_Prevention,Fig. 3; Fig. 4(a)-(b); Fig. 5; Fig. 7(c)-(d); Section 3.1,1,0,0,0
131,36,https://doi.org/10.1016/j.apenergy.2022.120119,2,Module_2_Aerogel,Fig. 6(a); Fig. 7(a)-(d); Section 3.2,1,0,0,0
132,36,https://doi.org/10.1016/j.apenergy.2022.120119,3,Module_3_Aerogel_PCM,Fig. 6(b); Fig. 7(b)-(d); Fig. 12(b)-(d); Sections 3.2–3.3,0,0,0,0
133,37,https://doi.org/10.1016/j.apenergy.2023.121690,1,OpenCircuit_2625s,Fig. 4a; Section 2.2; Section 3.1,1,0,0,0
134,37,https://doi.org/10.1016/j.apenergy.2023.121690,2,OpenCircuit_2825s,Fig. 4b; Fig. 5b–c; Fig. 12b; Section 3.1,1,0,0,0
135,37,https://doi.org/10.1016/j.apenergy.2023.121690,3,Parallel_2Cells_1p5mm,"Fig. 4c; Fig. 5b–c; Fig. 9d; Fig. 10c,e; Fig. 15a; Section 3.1–3.3",1,0,0,0
136,37,https://doi.org/10.1016/j.apenergy.2023.121690,4,Parallel_4Cells_1p5mm,Fig. 4d; Fig. 5b–c; Fig. 9d; Fig. 10c–f; Fig. 15b; Section 3.1–3.3,1,0,0,0
137,37,https://doi.org/10.1016/j.apenergy.2023.121690,5,Parallel_2Cells_0p5mm,"Fig. 9a,c; Fig. 10c; Fig. 12c; Fig. 13b; Section 3.2–3.3",1,0,0,0
138,37,https://doi.org/10.1016/j.apenergy.2023.121690,6,Parallel_4Cells_0p5mm,Fig. 9b–c; Fig. 10c; Fig. 12d; Fig. 13c; Section 3.2–3.3,1,0,0,0
139,38,https://doi.org/10.1016/j.apenergy.2024.122998,1,SOC_20,Fig. 2b; Fig. 3b; Table 6; definitions in Section 3.1; vent temperature in Fig. 9d,1,1,0,0
140,38,https://doi.org/10.1016/j.apenergy.2024.122998,2,SOC_40,Fig. 2c; Fig. 3c; Table 6; Section 3.1; vent temperature in Fig. 9d,1,1,0,0
141,38,https://doi.org/10.1016/j.apenergy.2024.122998,3,SOC_60,Fig. 2d; Fig. 3d; Table 6; Section 3.1; vent temperature in Fig. 9d,1,1,0,0
142,38,https://doi.org/10.1016/j.apenergy.2024.122998,4,SOC_80,Fig. 2e; Fig. 3e; Table 6; Section 3.1; vent temperature in Fig. 9d,1,1,0,0
143,38,https://doi.org/10.1016/j.apenergy.2024.122998,5,SOC_100,Fig. 2f; Fig. 3f; Table 6; Section 3.1; vent temperature in Fig. 9d,1,1,0,0
144,38,https://doi.org/10.1016/j.apenergy.2024.122998,6,SOC_105_overcharged,Fig. 4a; Fig. 5a; Table 6; Section 3.2,1,1,0,0
145,38,https://doi.org/10.1016/j.apenergy.2024.122998,7,SOC_110_overcharged,Fig. 4b; Fig. 5b; Table 6; T_vent from Fig. 9d; discussion in Sections 3.2 and 3.6,0,1,0,0
